publishDate,wordpressId,title,episodeNo
2012-06-09,20392,New Show! | Coder Radio,0
2013-06-24,39357,Software Exorcism | CR 55,55
2013-07-01,39752,Microsoft’s in a Funk | CR 56,56
2013-07-08,40042,The Dev Jungle | CR 57,57
2013-07-15,40377,The 56k Solution | CR 58,58
2013-07-22,40672,Sour Apple | CR 59,59
2013-07-29,40912,Call In 2.0 | CR 60,60
2013-08-05,41227,Office Hours | CR 61,61
2013-08-12,41452,FizzBuzzed! | CR 62,62
2013-08-19,41812,Mozilla Persona | CR 63,63
2013-08-26,42142,Bye Bye Ballmer | CR 64,64
2013-09-02,42332,Love’s Labor Lost | CR 65,65
2013-09-09,42767,Docker All The Things | CR 66,66
2013-09-16,43192,Blazing 7 | CR 67,67
2013-09-23,43517,ASP.Magic | CR 68,68
2013-09-30,43867,With Apologies to Texas | CR 69,69
2013-10-07,44217,Toolchain Transitions | CR 70,70
2013-10-14,44632,Betting on Linux | CR 71,71
2013-10-21,45077,Relatively Laid Out | CR 72,72
2013-10-28,45412,Baby Got Backend | CR 73,73
2013-11-04,45807,Justifying Java | CR 74,74
2013-11-11,46167,Deploying the Haterade | CR 75,75
2013-11-18,46552,Burned by Agile | CR 76,76
2013-11-25,46917,The Big Xbone | CR 77,77
2013-12-02,47307,Code Your Enthusiasm | CR 78,78
2013-12-09,47762,Two French Presses | CR 79,79
2013-12-16,48132,The SteamOS Conspiracy | CR 80,80
2013-12-23,48462,The Freelancer Dilemma | CR 81,81
2013-12-30,48737,Coding Transitions | CR 82,82
2014-01-06,49012,It’s Java’s Year | CR 83,83
2014-01-13,49437,Ops vs Dev | CR 84,84
2014-01-20,49877,Backend Lockin | CR 85,85
2014-01-27,50492,Myth of Magic Methodology | CR 86,86
2014-02-03,50872,Waning Windows | CR 87,87
2014-02-10,51342,Paper Cuts Deep | CR 88,88
2014-02-17,51802,The Cost of Comments | CR 89,89
2014-02-24,52237,Get Yourself Tested | CR 90,90
2014-03-03,52657,Your Database is Slow | CR 91,91
2014-03-10,53142,Persona Non Grata | CR 92,92
2014-03-17,53532,Ruby off the Rails | CR 93,93
2014-03-24,53982,Paranoid Android Developers | CR 94,94
2014-03-31,54357,The Blame Game | CR 95,95
2014-04-07,54707,MS Gadget 2.0 | CR 96,96
2014-04-14,55147,"Open Source, Closed Wallets | CR 97",97
2014-04-21,55527,Always Be Coding | CR 98,98
2014-04-28,56162,Is That a Weave? | CR 99,99
2014-05-05,56747,0x64 | CR 100,100
2014-05-12,57227,Shields Up | CR 101,101
2014-05-19,57752,Has Microsoft Lost Its Mojo? | CR 102,102
2014-05-26,58287,WWDC Predictions 2014 | CR 103,103
2014-06-02,58787,Swift exit for Obj-C | CR 104,104
2014-06-09,59542,The Problem with GitHub | CR 105,105
2014-06-16,60042,Bathroom Marketing | CR 106,106
2014-06-23,60532,New Hotness Exhaustion | CR 107,107
2014-06-30,61182,Materially Excited | CR 108,108
2014-07-07,61767,Go Big or Go Lean! | CR 109,109
2014-07-14,62257,Manual Design | CR 110,110
2014-07-21,62802,Microsoft&#8217;s Culture Anchor | Coder Radio 111,111
2014-08-04,63792,The Xamarin Solution | CR 112,112
2014-08-08,64152,Corner of Shame | CR 113,113
2014-08-11,64302,Contrarian Contracting | CR 114,114
2014-08-18,64822,The Scripting Chronicles | CR 115,115
2014-08-25,65387,DOM Be Gone | CR 116,116
2014-09-02,65787,Fools Aren&#8217;t Protected | CR 117,117
2014-09-08,66337,Privacy is a Myth | CR 118,118
2014-09-15,66797,Notch Escapes | CR 119,119
2014-09-22,67342,Xamarin Sham | CR 120,120
2014-09-29,67842,Doxing Developers | CR 121,121
2014-10-06,68302,A Cult of Personality Tests | CR 122,122
2014-10-13,69117,Coder Inquisition | CR 123,123
2014-10-20,69637,Underwhelming Apple | CR 124,124
2014-10-27,69997,Behind the Schemes | CR 125,125
2014-11-03,70567,HTML5: Back To The Future | CR 126,126
2014-11-10,71072,The Gorilla in the Stack | CR 127,127
2014-11-17,71667,.NET’s Open Future | CR 128,128
2014-11-24,72247,Google&#8217;s Objective C | CR 129,129
2014-12-01,72752,Get Back to the &#8217;50s | CR 130,103
2014-12-08,73207,Dock Your Rocket | CR 131,131
2014-12-15,73887,Git your Pizza | CR 132,132
2014-12-22,74337,Best Of Coder Radio 2014 | CR 133,133
2014-12-29,74517,Fair And Balanced | CR 134,134
2015-01-05,74902,Macs Exodus | CR 135,135
2015-01-12,75382,Ruby is not Perl | CR 136,136
2015-01-19,75807,Monumental Android Failure | CR 137,137
2015-01-26,76247,Deploy Like an Animal | CR 138,138
2015-02-02,76672,Windows in the Pi | CR 139,139
2015-02-09,77022,NOde | CR 140,140
2015-02-16,77422,Retro Extravaganza | CR 141,141
2015-02-23,77837,Accounts Percievable | CR 142,142
2015-03-02,78127,Not My Problem | CR 143,143
2015-03-09,78497,Apple Future vs Pebble Past | CR 144,144
2015-03-16,78932,"Why Mike's Disgusted by Android | CR 145",145
2015-03-23,79347,Open Source as a Trap | CR 146,146
2015-03-30,79642,The Sonic Philosophy | CR 147,147
2015-04-06,80047,Magical Contract Bids | CR 148,148
2015-04-13,80367,The Sociopath Code | CR 149,149
2015-04-20,80752,Interview Gauntlets of Pain | CR 150,150
2015-04-27,81202,Compromising Virtual Clouds | CR 151,151
2015-05-04,81462,The Open Pivot | CR 152,152
2015-05-11,81882,Bearded Buzzwords | CR 153,153
2015-05-22,82557,Chrome Took My Memory! | CR 154,154
2015-05-25,82742,Google's Brillo Pad | CR 155,155
2015-06-01,83087,You're Gitting it Wrong | CR 156,156
2015-06-08,83427,"Ahoy, El Capitan! | CR 157",157
2015-06-15,83707,Privileged Programmers | CR 158,158
2015-06-22,84067,Hipster Tendencies | CR 159,159
2015-06-29,84397,Developer Commodity | CR 160,160
2015-07-06,84787,Good Guy Mike | CR 161,161
2015-07-13,85137,Wandering in the Woods | CR 162,162
2015-07-20,85447,Proprietary Stress Management | CR 163,163
2015-07-27,85617,Conditional Swift Justice | CR 164,164
2015-08-03,85952,.Net or .Not? | CR 165,165
2015-08-10,86362,Hamburger Non-Helper | CR 166,166
2015-08-14,86537,The Price Isn't Right | CR 167,167
2015-08-24,86871,Template Driven Design | CR 168,168
2015-09-04,87291,Subscription Lock-in | CR 169,169
2015-09-14,87656,Apple Strokes The Tip | CR 170,170
2015-09-18,87916,Coder Craftsmen | CR 171,171
2015-09-28,88231,Advertising Cold War | CR 172,172
2015-10-05,88586,Sun Setting on Java | CR 173,173
2015-10-12,89046,Below the Surface | CR 174,174
2015-10-19,89391,What The Zuck! | CR 175,175
2015-10-26,89706,Material Matters | CR 176,176
2015-11-02,89986,Coder Puppy Mills | CR 177,177
2015-11-09,90261,Windows XP of the Net | CR 178,178
2015-11-16,90411,"I Came, I Saw, Ionic | CR 179",179
2015-11-23,90671,"Barkeep, Ionic, Please | CR 180",180
2015-11-30,90921,Code a Little Deeper | CR 181,181
2015-12-07,91246,Open Season on Swift | CR 182,182
2015-12-14,91511,Android Instability | CR 183,183
2015-12-21,91791,Mike’s Big Year | CR 184,184
2015-12-28,92071,Predictive Coder | CR 185,185
2016-01-04,92306,Decision 2016: Native vs Hybrid | CR 186,186
2016-01-11,92501,Slacking while Coding | CR 187,187
2016-01-18,92751,Linux: Bug or Feature? | CR 188,188
2016-01-25,93026,I'm OOPting Out | CR 189,189
2016-02-01,93306,Death of the Freelancer | CR 190,190
2016-02-08,93551,Parsing Your Options | CR 191,191
2016-02-15,93816,Post Apocalyptic Linux Desktop | CR 192,192
2016-02-22,96696,Big Blue's Swift Move | CR 193,193
2016-03-01,96876,Xamarin through the Ages | CR 194,194
2016-03-07,97216,The Xamarin Hand | CR 195,195
2016-03-14,97611,Hybrid Hijinks | CR 196,196
2016-03-21,97831,Rails Crazies React | CR 197,197
2016-03-28,98156,Brave New Code | CR 198,198
2016-04-04,98521,The Good Xamaritan | CR 199,199
2016-04-11,98716,Bot Your Life | CR 200,200
2016-04-18,98926,Tough Market | CR 201,201
2016-04-25,99076,GO Swift Yourself | CR 202,202
2016-05-02,99221,Go Go Golang | CR 203,203
2016-05-09,99581,Revenge of the Swift | CR 204,204
2016-05-16,99766,Git off the Rails | CR 205,205
2016-05-23,99906,Fat Bottom APIs | CR 206,206
2016-05-30,100066,AGILE: Too Big to Fail | CR 207,207
2016-06-06,100206,Fair-use Frustrations | CR 208,208
2016-06-13,100441,WWDC Hypercap | CR 209,209
2016-06-21,100591,Productivity Theater | CR 210,210
2016-06-27,100716,Ai Theater | CR 211,211
2016-07-04,100921,Derailing Java | CR 212,212
2016-07-11,101076,PokéCode | CR 213,213
2016-07-18,101247,Make Coding Great Again | CR 214,214
2016-07-25,101417,Real Life on the Ratel | CR 215,215
