publishDate,wordpressId,title,episodeNo
2011-04-18,7211,Dropbox Flaws | TechSNAP | 1,1
2011-04-25,7411,The Cloud Fails | TechSNAP 2,2
2013-05-09,36971,Packet Tells A Lot | TechSNAP 109,109
2013-05-16,37326,Jails vs VMs | TechSNAP 110,110
2013-05-23,37661,BSDCan 2013 Recap | TechSNAP 111,111
2013-05-30,38021,Making the Onion Cry | TechSNAP 112,112
2013-06-06,38381,Phishin&#8217; Hole | TechSNAP 113,113
2013-06-13,38757,Preparing for Orwell’s Internet | TechSNAP 114,114
2013-06-20,39177,What’s in Your Cache | TechSNAP 115,115
2013-06-27,39602,HP’s Backdoor | TechSNAP 116,116
2013-07-04,39887,Who Watches the Monitors | TechSNAP 117,117
2013-07-11,40257,Phish and Chips | TechSNAP 118,118
2013-07-18,40537,Exploit Brokers | TechSNAP 119,119
2013-07-25,40802,Ethically Hacked | TechSNAP 120,120
2013-08-01,41087,Grand Theft BGP | TechSNAP 121,121
2013-08-08,41332,Cost of Encryption | TechSNAP 122,122
2013-08-15,41672,Encryption Prediction | TechSNAP 123,123
2013-08-22,42032,Little Phish Big Breach | TechSNAP 124,124
2013-08-29,42267,Security by Mediocrity | TechSNAP 125,125
2013-09-05,42497,Random Access Fires | TechSNAP 126,126
2013-09-12,43067,NSA SSLeaze | TechSNAP 127,127
2013-09-19,43352,"Gentlemen, Start Your NGINX | TechSNAP 128",128
2013-09-26,43687,WHOIS Hiding | TechSNAP 129,129
2013-10-03,44067,ZFS Can Do that | TechSNAP 130,130
2013-10-10,44442,Adobe&#8217;s Leaky Source | TechSNAP 131,131
2013-10-17,44832,SoDDing D-Link Backdoor | TechSNAP 132,132
2013-10-24,45222,One Ping Only | TechSNAP 133,133
2013-10-31,45602,TrekSNAP | TechSNAP 134,134
2013-11-07,46032,Ideal ZFS Configurations | TechSNAP 135,135
2013-11-14,46362,Predicting Drive Failures | TechSNAP 136,136
2013-11-21,46702,Scenic BGP Route | TechSNAP 137,137
2013-11-28,47067,Password Decryption Games | TechSNAP 138,138
2013-12-05,47547,SSD Powered NAS? | TechSNAP 139,139
2013-12-12,47922,Corrupt Internet Police | TechSNAP 140,140
2013-12-19,48322,Cleaning up our Mess | TechSNAP 141,141
2013-12-26,48582,The Sound of Security | TechSNAP 142,142
2014-01-02,48857,ZFS Turntables | TechSNAP 143,143
2014-01-09,49207,Firewalls Aren&#8217;t Magic | TechSNAP 144,144
2014-01-16,49662,Target XPoSed | TechSNAP 145,145
2014-01-23,50227,Tarnished Chrome | TechSNAP 146,146
2014-01-30,50702,Google&#8217;s Automated Outage | TechSNAP 147,147
2014-02-06,51107,Targeting the HVAC | TechSNAP 148,148
2014-02-13,51582,Island Hopping Explained | TechSNAP 149,149
2014-02-20,51967,7 Year Malware | TechSNAP 150,150
2014-02-27,52407,Go Directly to Fail | TechSNAP 151,151
2014-03-06,52912,ICANN haz keys? | TechSNAP 152,152
2014-03-13,53322,Wi-Fi Safety | TechSNAP 153,153
2014-03-20,53692,Worst Server Practices | TechSNAP 154,154
2014-03-27,54142,Misconceptions of Linux Security | TechSNAP 155,155
2014-04-03,54462,Not Sharing The Secret | TechSNAP 156,156
2014-04-10,54907,SSL Heartbreak | TechSNAP 157,157
2014-04-17,55342,Time to Kill openSSL | TechSNAP 158,158
2014-04-24,55952,Intentional Backdoor | TechSNAP 159,159
2014-05-01,56502,Heartbleed Fallout | TechSNAP 160,160
2014-05-08,56982,Not Neutrality | TechSNAP 161,161
2014-05-15,57457,Internet Over Packet Loss | TechSNAP 162,162
2014-05-22,58047,Attachments of Mass Destruction | TechSNAP 163,163
2014-05-29,58542,Tales from the TrueCrypt | TechSNAP 164,164
2014-06-05,59167,House of Credit Cards | TechSNAP 165,165
2014-06-12,59832,Demilitarized Tone | TechSNAP 166,166
2014-06-19,60337,Docker Shocker | TechSNAP 167,167
2014-06-26,60922,Restores are Everything | TechSNAP 168,168
2014-07-03,61502,Big Brother&#8217;s Malware | TechSNAP 169,169
2014-07-10,62037,Botnet Billionaires | TechSNAP 170,170
2014-07-17,62577,SSH1tty leakage | TechSNAP 171,171
2014-07-24,63062,9 Days to Patch | TechSNAP 172,172
2014-07-31,63557,GoodGoogle BadUSB | TechSNAP 173,173
2014-08-07,64107,Two-factor Exemption | TechSNAP 174,174
2014-08-14,64547,The Day the Routers Died | TechSNAP 175,175
2014-08-21,65167,Heartbleed Hospital | TechSNAP 176,176
2014-08-28,65572,Project Zero Goes To War | TechSNAP 177,177
2014-09-04,65977,Home Depot Credit Repo | TechSNAP 178,178
2014-09-11,66617,"It&#8217;s not a Bug, It&#8217;s a Weapon | TechSNAP 179",179
2014-09-18,67077,Pixel Imperfect Security | TechSNAP 180,180
2014-09-25,67657,Bait and Phish | TechSNAP 181,181
2014-10-02,68177,Xen Gets bashed | TechSNAP 182,182
2014-10-09,68917,Belkin Heartbeat Stops | TechSNAP 183,183
2014-10-16,69462,HP Screws the POODLE | TechSNAP 184,184
2014-10-23,69937,Weaponized PowerPoint | TechSNAP 185,185
2014-10-30,70357,wget a Shell | TechSNAP 186,186
2014-11-06,70872,Apple Approved Malware | TechSNAP 187,187
2014-11-13,71477,Hackers Go Postal | TechSNAP 188,188
2014-11-20,72067,Security Hype Machine | TechSNAP 189,189
2014-11-27,72562,Tor Vibrations | TechSNAP 190,190
2014-12-04,73082,Celebrity Bugs | TechSNAP 191,191
2014-12-11,73732,Signed by Sony | TechSNAP 192,192
2014-12-18,74187,Don’t Fire IT | TechSNAP 193,193
2014-12-25,74442,Best Of TechSNAP 2014 | TechSNAP 194,194
2015-01-01,74772,Cloudy With a Chance of SSL | TechSNAP 195,195
2015-01-08,75192,Sony’s Hard Lessons | TechSNAP 196,196
2015-01-15,75657,Patch and Notify | TechSNAP 197,197
2015-01-22,76052,Dude Where’s My Card? | TechSNAP 198,198
2015-01-29,76517,Internet of Problems | TechSNAP 199,199
2015-02-05,76892,Your TechSNAP Story | TechSNAP 200,200
2015-02-12,77327,Group Problemcy | TechSNAP 201,201
2015-02-19,77712,SuperFishy Mistake | TechSNAP 202,202
2015-02-26,77962,TurboHax | TechSNAP 203,203
2015-03-05,78387,Ghost of Crypto Past | TechSNAP 204,204
2015-03-12,78707,An Uber Mess | TechSNAP 205,205
2015-03-19,79162,Two Factor Falsification | TechSNAP 206,206
2015-03-26,79567,Lunch Lady Lockdown | TechSNAP 207,207
2015-04-02,79867,Any Cert Will Do | TechSNAP 208,208
2015-04-09,80277,Day-0 of an InfoSec Career | TechSNAP 209,209
2015-04-16,80632,SMBTrapped in Microsoft | TechSNAP 210,210
2015-04-24,81082,The French Disconnection | TechSNAP 211,211
2015-04-30,81407,Dormant Docker Disasters | TechSNAP 212,212
2015-05-07,81732,Blame as a Service | TechSNAP 213,213
2015-05-14,82132,Venomous Floppy Legacy | TechSNAP 214,214
2015-05-21,82517,EXTenuating Circumstances | TechSNAP 215,215
2015-05-28,82967,Spy vs MSpy | TechSNAP 216,216
2015-06-04,83272,An Encryptioner's Conscience | TechSNAP 217,217
2015-06-11,83577,Hacking Henchmen for Hire | TechSNAP 218,218
2015-06-18,~r,OPM Data too Valuable to Sell | TechSNAP 219,219
2015-06-25,~r,Homeland Insecurity | TechSNAP 220,220
2015-07-02,~r,Ripping me a new Protocol | TechSNAP 221,221
2015-07-09,~r,ZFS does not prevent Stupidity | TechSNAP 222,222
2015-07-16,~r,A Bias to Insecurity | TechSNAP 223,223
2015-07-23,~r,Butterflies & Backronyms | TechSNAP 224,224
2015-07-30,~r,SourceForge's Downfall | TechSNAP 225,225
