publishDate,wordpressId,title,episodeNo
2011-05-25,8723,Gravity | SciByte 1,1
2012-05-08,19382,Egyptian Astronomy &#038; Smog | SciByte 45,45
2012-05-15,19587,Mayan Calendar &#038; Cancer Research | SciByte 46,46
2012-05-22,19826,SpaceX &#038; Easter Island | SciByte 47,47
2012-05-29,20027,Venus Transit &#038; Dragon Spacecraft | SciByte 48,48
2012-06-05,20252,Spinal Cord Injuries &#038; Venus Transit | SciByte 49,49
2012-06-13,20542,Dinosaurs &#038; Neutrinos | SciByte 50,50
2012-06-19,20738,Talking Robots &#038; Voyager 1 | SciByte 51,51
2012-06-26,21066,Extreme Exoplanets &#038; Language | SciByte 52,52
2012-07-10,21481,Higgs Boson | SciByte 53,53
2012-07-17,21826,Apollo 11 &#038; Spinning Diagnostics | SciByte 54,54
2012-07-24,22146,Vision Technology &#038; Sally Ride | SciByte 55,55
2012-07-31,22486,Olympic Science &#038; Red Bull Stratos | SciByte 56,56
2012-08-07,22846,Curiosity Rover &#038; Interview with Dr. Robert Zubrin | SciByte 57,57
2012-08-14,23131,Future Olympic Tech &#038; Fast Cheetahs | SciByte 58,58
2012-08-21,23501,Huntington’s &#038; Heart Disease Treatment | SciByte 59,59
2012-08-28,23826,Neil Armstrong &#038; Dinosaur Footprints | SciByte 60,60
2012-09-04,24096,‘Tatooine’ Exoplanets &#038; Eye’s | SciByte 61,61
2012-09-11,24496,Stradivarius &#038; Tigers | SciByte 62,62
2012-09-18,24751,Cool Pavement &#038; Martian Snow | SciByte 63,63
2012-09-25,25081,iPhone Nurse &#038; “Warp Drive” | SciByte 64,64
2012-10-02,25436,Chocolate &#038; Black Holes | SciByte 65,65
2012-10-09,25786,Red Bull Stratos &#038; SpaceX | SciByte 66,66
2012-10-16,26116,Nobel &#038; Stratos | SciByte 67,67
2012-10-23,26421,Exoplanets &#038; Universal Translator | SciByte 68,68
2012-10-30,26761,Breast Cancer &#038; Mayan Calender | SciByte 69,69
2012-11-08,27201,Painful Math &#038; Canadian Rovers | SciByte 70,70
2012-11-13,27401,“Super-Earths” &#038; Plastic Skin | SciByte 71,71
2012-11-27,28011,HIV &#038; SpaceView | SciByte 72,72
2012-12-04,28411,Curiosity &#038; Subglacial Life | SciByte 73,73
2012-12-11,28701,Spicy Foods &#038; Mars | SciByte 74,74
2012-12-18,29071,End of the World? | SciByte 75,75
2013-01-08,29861,Resolutions &#038; Martian Meteorite  | SciByte 76,76
2013-01-15,30191,Breath Analysis &#038; Large Structures | SciByte 77,77
2013-01-22,30581,Dyscalculia &#038; the Flu | SciByte 78,78
2013-01-29,30961,Multitasking &#038; Tractor Beams | SciByte 79,79
2013-02-05,31326,Arthritis &#038; Hawking’s Voice | SciByte 80,80
2013-02-12,31731,Color Blindness &#038; Bionics | SciByte 81,81
2013-02-19,32102,Meteorites &#038; Asteroids | SciByte 82,82
2013-02-26,32512,Tiny Exo-planet &#038; Medical Glue | SciByte 83,83
2013-03-05,33016,HIV &#038; SpaceX Troubles | SciByte 84,84
2013-03-12,33356,Strange Bacteria &#038; Higgs-Boson | SciByte 85,85
2013-03-19,33896,Exoplanet &#038; Bee Venom | SciByte 86,86
2013-03-26,34236,Heart Surgery &#038; Robot Snakes | SciByte 87,87
2013-04-02,34591,Weight Loss Microbes &#038; Supernovae | SciByte 88,88
2013-04-09,35066,Dark Matter &#038; Reading Dreams | SciByte 89,89
2013-04-16,35511,Alzheimer&#8217;s &#038; Mars Missions | SciByte 90,90
2013-04-23,36201,Apollo 13 &#038; Brain Training | SciByte 91,91
2013-05-07,36836,Habitable Exoplanets &#038; Diabetes | SciByte 92,92
2013-05-14,37221,Bionic Ear &#038; Atomic Movie | SciByte 93,93
2013-05-21,37576,Kepler &#038; Ancient Water | SciByte 94,94
2013-05-28,37926,Bilingualism &#038; A Smart Dog | SciByte 95,95
2013-06-03,38226,Mammoth Blood &#038; Crowdsourced Telescope | SciByte 96,96
2013-06-11,38666,CoQ10 &#038; Smart LEGO | SciByte 97,97
2013-06-18,39077,Strange Exoplanet &#038; Cancer Therapy | SciByte 98,98
2013-06-25,39472,Alzheimer&#8217;s &#038; Solar Cells | SciByte 99,99
2013-07-09,40152,Hearing Fear &#038; Mitochondrial DNA | SciByte 100,100
2013-09-10,42922,Hibernation &#038; Updates | SciByte 101,101
2013-09-17,43267,Voyager 1 &#038; Insect Gears| SciByte 102,102
2013-09-24,43602,Martian Methane &#038; Deep Impact | SciByte 103,103
2013-10-01,43947,Fear &#038; Lunar Formation | SciByte 104,104
2013-10-15,44732,Exoplanet Clouds &#038; Updates | SciByte 105,105
2013-10-22,45152,Multiple Sclerosis &#038; Ancient Comet | SciByte 106,106
2013-10-29,45522,Dinosaurs &#038; Satellites | SciByte 107,107
2013-11-05,45962,“Hot-Earths” &#038; New Species | SciByte 108,108
2013-11-12,46277,‘Earth-Like’ Planets &#038; Sharks | SciByte 109,109
2013-11-26,47007,Glacial Lava &#038; Artificial Intelligence | SciByte 110,110
2013-12-03,47442,Memories &#038; International Spacecraft | SciByte 111,111
2013-12-10,47862,Typing &#038; Dying Silk | SciByte 112,112
2013-12-17,48212,Freshwater Aquifers &#038; Brain Plasticity | SciByte 113,113
2014-01-07,49107,Happy Science of 2013 | SciByte 114,114
2014-01-14,49562,Sleep Apnea &#038; Heart Defect Treatments | SciByte 115,115
2014-01-21,50137,Migraines &#038; John Dobson | SciByte 116,116
2014-01-29,50632,Asteroid Belt Water | SciByte 117,117
2014-02-04,51002,Titanosaurus &#038; Monopoles | SciByte 118,118
2014-02-11,51447,Medical Tech &#038; Martian Crater | SciByte 119,119
2014-02-18,51872,Canadian Fossils &#038; Yutu Rover | SciByte 120,120
2014-02-25,52322,Immunotherapy &#038; Growing Lungs | SciByte 121,121
2014-03-04,52787,Martian Life &#038; Tetris | SciByte 122,122
2014-03-11,53247,HIV Treatment &#038; European Dinosaur | SciByte 123,123
2014-03-25,54062,Inflation &#038; Frozen Moss | SciByte 124,124
2014-04-08,54812,Cancer Drug &#038; New Planet | SciByte 125,125
2014-04-15,55232,Paraplegic Therapy &#038; Exomoon | SciByte 126,126
2014-04-22,55667,Marijuana &#038; “Exo-Earth” | SciByte 127,127
2014-04-29,56267,Auditory Nerves &#038; Cartilage | SciByte 128,128
2014-05-06,56872,Pyramid Construction &#038; Picturebooks | SciByte 129,129
2014-05-13,57347,Solar Sibling &#038; Comets | SciByte 130,130
2014-05-20,57907,Exoplanet Image &#038; Autism Spectrum | SciByte 131,131
2014-05-27,58377,ISEE-3 Back To Life | SciByte 132,132
2014-06-03,58927,Orion Heat Shield &#038; Dragon V2 | SciByte 133,133
2014-06-24,60677,Super-Earth &#038; Lunar Formation | SciByte 134,134
2014-07-08,61887,Exoplanets &#038; Diabetes | SciByte 135,135
2014-07-15,62367,Voyager 1 &#038; SpaceX | SciByte 136,136
