publishDate,wordpressId,title,episodeNo
2014-09-28,67767,Screenshot Show &#038; Tell | FauxShow 195,195
2014-10-12,69027,Worst Birth Control Methods | FauxShow 196,196
2014-10-19,69567,Internet Pet Peeves | FauxShow 197,197
2014-11-02,70462,LAS Jackets | FauxShow 198,198
2014-11-09,70962,Your Password | FauxShow 199,199
2014-11-16,71562,What If&#8230; | FauxShow 200,200
2014-11-23,72152,Simple Genius Ideas | FauxShow 201,201
2014-11-30,72692,Movie Trivia | FauxShow 202,202
2014-12-07,73177,2014’s Big Tech Fails | FauxShow 203,203
2015-01-11,75317,Buy Nothing | FauxShow 204,204
2015-01-18,75777,Anonymous Mailings | FauxShow 205,205
2015-01-26,76207,Fauxnotic About Xonotic | FauxShow 206,206
2015-02-01,76622,Meet Noah | FauxShow 207,207
2015-02-15,77402,Learning Markdown | FauxShow 208,208
2015-03-01,78047,MailSack Blowout | FauxShow 209,209
2015-03-08,78467,Epic Backyards | FauxShow 210,210
2015-03-15,78842,Customize Your Desktop | FauxShow 211,211
2015-03-22,79312,Awkward Things | FauxShow 212,212
2015-05-10,81827,Apple Watch vs Android Wear | FauxShow 213,213
2015-05-17,82242,Middle School Sex Ed Test | FauxShow 214,214
2015-05-24,82677,Stupid Million Dollar Ideas | FauxShow 215,215
2015-06-07,83377,My Faux Craft | FauxShow 216,216
2015-06-28,84357,Your Faux Questions | FauxShow 217,217
2015-07-05,84752,Phone Addiction | FauxShow 218,218
2015-07-13,85092,29 Things Before You’re 30 | FauxShow 219,219
2015-07-19,85407,Summer Project Awards | FauxShow 220,220
2015-07-31,85882,Sarcastic Parents | FauxShow 221,221
2015-08-06,86207,Traveling in the Future | FauxShow 222,222
2015-09-10,87531,Faux Divorce | FauxShow 223,223
2015-10-11,88966,Top Road Trip Apps | FauxShow 224,224
2015-10-16,89301,Space Goods | FauxShow 225,225
2015-10-23,89611,I HATE SPIDERS | FauxShow 226,226
2015-10-30,89926,Faux VS Distance | FauxShow 227,227
