publishDate,wordpressId,title,episodeNo
2013-08-12,41497,Too Much Choice | LU1,1
2014-04-08,54772,Windows eXPired | LUP 35,35
2014-04-15,55192,Beware of Underdog | LUP 36,36
2014-04-22,55587,Client Side Drama | LINUX Unplugged 37,37
2014-04-29,56217,The Rest of the Fest | LINUX Unplugged 38,38
2014-05-06,56822,Fragmentation Timebomb | LUP 39,39
2014-05-13,57287,Developers Get Qt | LUP 40,40
2014-05-20,57857,Arch&#8217;s Uprising | LUP 41,41
2014-05-27,58337,Fine Wine or Sour Ports | LUP 42,42
2014-06-03,58882,Mint 17: Fresh or Stagnant? | LUP 43,43
2014-06-10,59617,Bedrock: A New Paradigm | LUP 44,44
2014-06-17,60132,The Triple-Boot Phone | LUP 45,45
2014-06-24,60637,SouthEast LinuxFest Unplugged | LUP 46,46
2014-07-01,61317,Desktopaholics Anonymous  | LUP 47,47
2014-07-08,61837,KaOS Theory | LUP 48,48
2014-07-15,62317,Rapid Fire Journalism | LINUX Unplugged 49,49
2014-07-22,62862,Linux Look-Back | LUP 50,50
2014-07-29,63327,OSCON Behind The Story | LUP 51,51
2014-08-05,63887,CRUX Interview | LUP 52,52
2014-08-12,64377,Ubuntu with Rodent | LUP 53,53
2014-08-19,64912,Microsoft&#8217;s Munich Man | LINUX Unplugged 54,54
2014-08-26,65447,LinuxCon 2014 Unplugged | LUP 55,55
2014-09-02,65847,One Packager for All | LUP 56,56
2014-09-09,66417,systemd Haters Busted | LUP 57,57
2014-09-16,66842,Cult of Community | LUP 58,58
2014-09-23,67432,Dead Desktop Walking | LUP 59,59
2014-09-30,67937,Calm Before the Storm | LINUX Unplugged 60,60
2014-10-07,68567,Don’t Feed the Soap Opera | LUP 61,61
2014-10-14,69222,Unifying Linux Software | LUP 62,62
2014-10-21,69722,For Forks Sake | LUP 63,63
2014-10-28,70132,SeaGL &#038; OLF Roundup | LINUX Unplugged 64,64
2014-11-04,70652,OpenSUSE Followup | LINUX Unplugged 65,65
2014-11-11,71137,Firefox gets Unplugged | LUP 66,66
2014-11-18,71817,Debian Community Divided | LUP 67,67
2014-11-25,72347,Linux Powered Schools | LUP 68,68
2014-12-02,72852,Perfect Linux Laptop | LUP 69,69
2014-12-09,73332,Next Gen Fedora | LUP 70,70
2014-12-16,73942,Fedora Takes the Lead | LUP 71,71
2014-12-23,74372,Best of LUP 2014 | LUP 72,72
2014-12-30,74612,Predicting 2015 | LUP 73,73
2015-01-06,74987,Proprietary Exodus | LUP 74,74
2015-01-13,75452,Obviously Linux’s Fault | LUP 75,75
2015-01-20,75862,Building a Better Gnome | LUP 76,76
2015-01-27,76322,"Vivaldi, The Fourth Browser | LUP 77",77
2015-02-03,76722,Straight Outta FOSDEM | LUP 78,78
2015-02-10,77087,Ubuntu Calling | LUP 79,79
2015-02-17,77477,ARMed with Arch | LUP 80,80
2015-02-24,77757,Unplugging the Past | LUP 81,81
2015-03-03,78217,Ubuntu MATE Gets Legit | LUP 82,82
2015-03-10,78567,Numixing Fedora | LUP 83,83
2015-03-17,79012,On the Verge of Convergence | LUP 84,84
2015-03-24,79412,Give the Kids Linux | LUP 85,85
2015-03-31,79692,Evolve Your OS | LUP 86,86
2015-04-07,80097,btrfs Meltdown | LUP 87,87
2015-04-14,80442,Churning Over Btrfs | LUP 88,88
2015-04-21,80832,"Oh Deere, RMS was Right | LUP 89",89
2015-04-28,81282,How The Fest Was Fun | LUP 90,90
2015-05-05,81522,Open Source Kollaboration | LUP 91,91
2015-05-12,81952,"Linux Wife, Happy Life. | LUP 92",92
2015-05-19,82317,Rollback Romanticism | LUP 93,93
2015-05-26,82787,11 Years of Linux Benchmarking | LUP 94,94
2015-06-01,83062,Disjunctive Normal Fedora | LUP 95,95
2015-06-09,83462,Fedora's Bright Future | LUP 96,96
2015-06-16,83782,Better Open Source Options | LUP 97,97
2015-06-23,84127,Not OK Google | LUP 98,98
2015-06-30,84472,Finger on the Pulse of Video | LUP 99,99
2015-07-07,84862,Still Minty Fresh | LUP 100,100
2015-07-14,85167,Will Flash Be Trashed? | LUP 101,101
